ScenarioID,Status,ErrTheta,ErrP,ErrF,SumPtrue,Note
40,fail,0.000848147224102429,0.000676473006916148,0.00062675409588748,2.22044604925031e-16,eP=6.765e-04 eF=6.268e-04
41,fail,0.00161638231511831,0.00168156467420124,0.00126304222672331,6.66133814775094e-16,eP=1.682e-03 eF=1.263e-03
42,fail,0.00289324366050519,0.00159969807400361,0.00145179955704567,2.22044604925031e-16,eP=1.600e-03 eF=1.452e-03
43,fail,0.00119039519087719,0.000952847963797786,0.000695221122655607,4.44089209850063e-16,eP=9.528e-04 eF=6.952e-04
44,fail,0.00176697709860585,0.0017275339036664,0.00146606512904264,0,eP=1.728e-03 eF=1.466e-03
45,fail,0.000682347182216424,0.00138176803292892,0.00092846067338193,0,eP=1.382e-03 eF=9.285e-04
46,fail,0.00139290630381883,0.00247501341777249,0.00155183622675303,2.22044604925031e-16,eP=2.475e-03 eF=1.552e-03
47,fail,0.000646886247220902,0.00205218210889417,0.00137442476814701,-4.44089209850063e-16,eP=2.052e-03 eF=1.374e-03
48,fail,0.00151616691161896,0.00111205087996054,0.00109628312225932,6.66133814775094e-16,eP=1.112e-03 eF=1.096e-03
49,fail,0.000799805849395365,0.000948128302180975,0.000901130336725368,-6.66133814775094e-16,eP=9.481e-04 eF=9.011e-04
50,fail,0.00135379679325392,0.000611967993423609,0.000496371598506546,4.44089209850063e-16,eP=6.120e-04 eF=4.964e-04
51,fail,0.000628023559777692,0.00115334651237747,0.000790959792516454,0,eP=1.153e-03 eF=7.910e-04
52,fail,0.000815828155561929,0.00142600998531628,0.00103045523995708,2.22044604925031e-16,eP=1.426e-03 eF=1.030e-03
53,fail,0.00138740735059099,0.00193853129391902,0.00140971535326583,6.66133814775094e-16,eP=1.939e-03 eF=1.410e-03
54,fail,0.00231186183615481,0.00114979117613433,0.00132244965452202,0,eP=1.150e-03 eF=1.322e-03
55,fail,0.000381222129554799,0.000618210687922107,0.0004825043086868,0,eP=6.182e-04 eF=4.825e-04
56,fail,0.00189399166547267,0.00233917616693712,0.0021348863911122,0,eP=2.339e-03 eF=2.135e-03
